@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' george zimmerman appearance public friday wife shellie hiding in... ',neutral,0,0,1
' draw hd tv today, 24 feb., noon. good luck, everyone! details enter #pplhdtv comp: ',positive,1,0,0
' day < ',neutral,0,0,0
' soccer saturday son. playing hardest team league. all-star game. #proudparents ',positive,0,0,0
' james martin flowerpot bread sat kitchen steal idea @firehousebread ?? ',objective,0,1,1
' waking switzerland.l(too early)ast night special night st.poelton. special.... picture time ',positive,1,0,0
' north london derby birthday nov 17th, birthday. #arsenal ',objective,0,0,0
' toni gonzaga smiles legazpi!! (snapshot video took, swerte ni kuya, pic w/ toni g) pic.twitter.com/9w4yjn0h ',positive,0,0,0
' night live september 28th nick aussie directioners :) ',positive,1,0,0
' jan cat royal,star garter #solihull pic.twitter.com/mlmndyvm ',objective,0,0,0
' glenn hoddle striker emmanuel adebayor struggle tottenham team jermain defoes fine display reading. ',neutral,1,1,0
' @daniellejbrear me, ill 18! go! #crazytimes #weregettingold xxx ',positive,0,1,0
' fancy @martyn2311 ',negative,1,0,0
' 1 november 1968. george harrison released soundtrack "wonderwall." beatle release solo album. ',objective,0,0,0
' love #knicks good center 1st time ewing & sudden @nba rid allstar voting position ',negative,2,1,1
' will kermit tomorrow & talk directly meeting. (im bringing creepy back) ',neutral,1,0,0
' tickets late david letterman will air tonight! 3rd row. billy crystal guest. ',neutral,1,0,1
' dont forget exorcist fox theatre tuesday! big screen. ',positive,0,1,1
' enjoy networking? cocktails pandas beers adelaide oval agenda #innovationgeneration ',positive,1,0,0
' chillin traffic listening wiz. taylor allderdice favorite mix tape his. top 10 period ',positive,2,0,0
' find aloud chiweenie front yard: "come on, now. (cont) ',positive,0,0,0
' excited hang rae & laurin tomorrow. :) ',positive,1,0,0
' october 19, 2012 book news: 20,000 turn southern festival books keith richards margar... ',neutral,0,0,0
' tuesday night athens! aka karaoke night volstead me!! ',positive,0,0,0
' friends family mama!!! hey dont forget friday 21st @ 5:00 harold washington... ',neutral,1,1,0
' going roger sanchez factory toronto, canada - dec 7 ',objective,0,0,0
' trayvon touched shoulder 7th period hide >> lmfao tall ass anywhere! ',negative,0,0,1
' jeremy evans completed 2012-2013 nba play year preseason. video shortly. rip ronny turiaf. ',neutral,0,0,0
' inside heads shape universe ',neutral,0,0,0
' #ramadan #mubarak #muslims began early. allah bless souls forever good deeds. ',positive,2,0,0
' movie night kids church! watching lorax! thing better spend friday night! ',positive,1,0,0
' arrival ship: mataf pride port: abu dhabi time: nov 2 2012 5:44am (utc) (time arrival/departure time vessel appr... ',objective,1,0,0
' listening taylor allderdice day tomorrow. ',objective,0,0,0
' departure ship: ams 111 port: abu dhabi time: nov 2 2012 4:47am (utc) (time arrival/departure time vessel approa... ',objective,0,0,0
' brandenberg three. 91-32. 5 guys practice wbb team game rate #letsgovcu ',objective,0,1,0
' trayvonmartinfoundation will aid assist families well focus conflict resolution, senseless crimes & advocacy ',positive,3,2,0
' going ace anatomy test tomorrow! ',positive,0,0,0
' 1st academy awards ceremony, presented academy motion picture arts sciences (ampas), honored... ',objective,0,0,0
' sept 8 las vegas hard rock, randall "the ko king" bailey devon alexander. 37 year bailey good 4 win streak. ',positive,1,1,0
' great tribute @dirk_18_kuyt #lfc writer @jamespearceecho - favourite dirk moment? ',positive,2,0,0
' session 11th international cloud expo, lauren cotugno, distinguished technologist, cloud consultin... ',neutral,1,2,0
' @teentripper ate danica day happy ate pwede po ba makuha number mo ???? :)) ',positive,1,0,0
' god, bioshock infinite now. february far, long wait. ',positive,0,1,0
' #trayvon daily tweet(s) 10/17 10/18 memory trayvon martin - killed 236 days ago.~may rest peace~ (love family) ',neutral,0,0,0
' @andyfox19 hows going stateside #foxdog...?! #playerplayer #thesunsoutiwannatalkboobs... #leeeaveit ',positive,0,0,0
' life to, thursdays consist baccaras â£10 drink, ironing work shirts week! #fml ',neutral,0,0,0
' @borntorun703 @jolynn_giancola @cece_giancola @heatono @reganohara1 game night oneil household tomorrow @6 #bethere ',objective,0,1,0
' exo-m going nanjing tomorrow... black-haired lu han? owo ',neutral,0,0,0
' @e_picc know, excited! friday paid! jean dujardin! ',neutral,0,0,0
' decent woot deals hd tvs till 18th @woot ',positive,1,0,0
' volleyball game east tomorrow football game! #playoffs2012 ',neutral,0,1,0
' sunday afternoon amy lee amfm till 4pm. hand hit 40 uk mark james. ',neutral,0,0,0
' disagree. â€œ@cedwardscharles: road course needed chase. #nascar road course all.â€? ',neutral,0,0,0
' high lower west ny gorgeous. hope architect great olympic park. ',positive,2,0,2
' amy lee! evanescences leading lady amy lee? amy sat answer of... ',neutral,1,0,0
' yall going nca tomorrow? aint solve . create problem. ',negative,0,0,0
' super positive arsenal fans forgetting spending players buying poor players ',neutral,2,1,0
' big 4 kevin, deniesse, devine, ryan sa kick ng pbb teen edition 4 sunday, april 8 9pm.#excitedmuch!!!#biggelontv ',positive,0,1,1
' ready church ðÿ‘¼ðÿ™? ',positive,1,0,0
' yeaa! 3rd place! congrats! @inawarriors game! indonesia warriors 92 - 85 singapore slingers! supports superriors! ',positive,0,0,0
' morning, 8th january, day night passed corral, smith ayrton returned granite house. ',objective,0,0,0
' preparing saturday roast, rick stein criticises modern film telly. backwards. ',neutral,1,0,0
' sandy passed by, cathedral close lightly touched (whew), yes, ncs will open tomorrow,... ',positive,2,1,0
' #pacers extend biggest lead game paul george jumper. 10 pts, 48-38, 2:03 left 1st half! ',positive,0,1,0
' nyc. wanna 5x tony winner, peter & starcatcher paul rudd stage thurs? ',neutral,0,0,0
' good evening everyone! cost warm pork chops oven! #wlf ',negative,2,0,0
' eto o! ultimate multimedia star #sarahglive 1st time! :) toni gonzaga!!! :d happy8thmonthsarysarahglive pic.twitter.com/hqsvjaj9" ',positive,2,0,0
' metropcs market 4g rich communication services: metropcs largest wireless carrier -... ',negative,1,0,0
' #middleschoolmemories marana 2 months 8th grade iss everyday. ',neutral,0,0,0
' glad going woodlands tomorrow! forward joseph wright! ',positive,1,0,0
' @jaxicandy prob start 1st night roxy ',neutral,0,0,0
' . @nchsaa 4a boys soccer playoffs saturday: wilmington hanover garner 5 pm start confirmed ',objective,0,0,0
' pimple size jupiters 12th moon forehead! fml! ',negative,0,1,0
' will happen #portchuck port charles voters vote change city port pine view nov 6th referendum? ',neutral,1,1,1
' time register find red dress tomorrows rampage! it! ',positive,0,0,0
' h&ms fashion aids collection april 26th. 25% sale price aids prevention. ',objective,0,0,0
' disco balls polished...are ready!?! thursday night! join adrienne arsht center... ',neutral,0,0,0
' mommy maxwell monday , lmfaoooo fuck dont ',negative,0,0,0
' 30 free tickets watch saigon heat singapore slingers singapore,4pm apr 29 30 fans email community@saigonheat.com ',neutral,1,0,0
' jason vernau live @surfcomber march 16 2012 miami wmc pool party robbie rivera & friends @djjasonvernau ',neutral,2,0,0
' stars office hours scc room 324 sunday monday: 1-8pm, tuesday-thursday 1-9pm talk anything! ',neutral,1,0,0
' perfect storm (with george clooney) v. day tomorrow (with jake gyllenhaal, dennis quaid) -- #sandy comparable ... ',objective,1,1,0
' @williscorto ferry corsten digital tomorrow. rave up. #punk #yardofcocktail #liquid ',positive,1,0,0
' excited upcoming shows! time halloweird! 10/27(tomorrow night) @ fox theatre w/... ',positive,1,0,0
' 1st time bring phone harold washington & off! :/ ',negative,0,0,0
' hey #redarmy, vote @perthwildcats all-star game december 22! south! ',neutral,0,1,0
' keynotes #kc tomorrow . goint #nascar today. sit shotgun danica patrick. ',neutral,0,0,0
' #afl12 ill surprise tomorrow game peoria surprise. follow then. start tweeting noon. ',positive,0,2,1
' going watch eurosong! croatia 10th ;) vote croatia!!! ',positive,0,0,0
' yall niggas version taylor allderdice. 3rd track wanna turn shit ',negative,0,0,0
' lorax paid surprise visit, checking place saturday. meet 11/3 10-2! pic.twitter.com/jjiich4d ',positive,0,0,1
' #trayvon daily tweet (9-09) memory trayvon martin- killed 197 days ago. ~may rest peace~ (praying hoping family) ',neutral,0,0,0
' tuesdays rainfall @ bdr 0.64" record date. ',objective,0,0,0
' going cypress hill open air gampel festival gampel, switzerland - aug 18 ',neutral,1,0,1
' sat boozer bethnal green listening dj play @iamfakeblood - 138bpm. ',positive,0,0,0
' australia test odi captain michael clarke launch international season sydney monday ',objective,0,0,0
' net buy house rosedale april 4bdrms 2full baths ',objective,0,0,0
' queens brian freddie mercury biopic way. sacha baron cohen will play role mercury. @nme ',neutral,1,0,0
' 4th floor cypress dont half funny dress sense #spanish ',negative,2,0,1
' giants 3rd-round pick failed drug test nfl combine: jayron holsey knew hurt bec... #newyork #sports ',negative,0,1,2
' @tsharklv 1st up, obama poster caption??? trayvon parents dad right. dont grieve? ',neutral,0,0,0
' potential upset alert: wichita wild trail allen wranglers 27-33 2:33 left 3rd quarter. ',neutral,1,2,0
' eyebrow fucked, smiling once. pic.twitter.com/oufi1ooh ',positive,1,0,0
' police fear ivan leach, lee cyrus carried serious sexual assault tayside, scotland, absconded oct 9 ',negative,0,3,0
' imagine danica danielle meeting @justinbieber friday feeling helped out. #amazing #jbmeetdanica ',positive,0,0,2
' girls vs. boys ultimate battle sound effects! p.s. - wicked helicopter. ',neutral,2,2,0
' uploading random pics! lol sunday adrienne arsht center! pic.twitter.com/leueqikt ',neutral,0,0,0
' monday night football wrangler nation! game time 7:05pm vs. wichita wild! tickets cheer... ',positive,0,1,0
' celebrity saturday ! great tea good going oscars ',positive,3,0,0
' excited trunk treat tomorrow (nov 2) night boys girls club pottstown. will start at... ',positive,3,0,0
' posted donghae yesung waved them!!! misery!! ',negative,0,0,0
' dont depress rl folk daily mail reporting 82k sellout eng fiji twickers sat week. broader vision deeper pockets? ',negative,0,1,0
' aussie directioners! didnt direction xfactor special tv thursday! ',objective,1,0,0
' "the greatest hits tour - blue, jeff timmons 98 degrees,a1" feb 25... :| ',positive,1,0,0
' @asfarahrahman going fight middle school lol,but bfff <3 #iloveher ',positive,0,1,0
' 5 days left e! red carpet live jewelry fashion show!saturday, november 4. rsvp seating limited!... ',objective,1,0,0
' alan pardew comparing colloccini bobby moore comparing wanking sex, 2nd choices 10x better ',positive,1,0,0
' mommys phone happy birthday. reference "happy birthday ladybug" like, nicknames. ',positive,1,0,0
' bright moonlight hamper auroral observations, jupiter moon close tonight. ',neutral,1,3,0
' fwd 14s hit dv tonight. derby tmrw, rest sunday, birthday monday. smell long weekend good ',positive,1,1,0
' tomorrow shift 11:30 08:30 pm . work , going h&m awhile . , open ? ',neutral,1,0,0
' team news: moussa dembele, emmanuel adebayor gareth bale will game tomorrow maribor. #thfc ',objective,1,1,0
' envy going big bang tomorrow saturday. ;_; ',neutral,0,1,1
' glad going greenville tomorrow night tho ',positive,1,0,0
' months leaving 8th grade alrady wat university going going university denver ',neutral,0,0,0
' havent friend 7th grade covina band! utah! ',neutral,1,0,0
' #nowplaying linkin park - lost echo. havent listened 5th grade song pretty good. ',positive,1,1,0
' send well messages tressa co-owner broke leg tomorrow birthday ',neutral,1,1,0
' departure ship: jumbo spirit port: abu dhabi time: nov 2 2012 4:49am (utc) (time arrival/departure time vessel a... ',objective,1,0,0
' @ptmediaweb watch nhl games, watch evgeni malkin alex ovechkin khl! ',neutral,0,0,0
' mayoroflondon: join tomorrow exciting london childrens book swap events families love read #ld... ',positive,2,0,0
' christianity isnt sunday thing ',objective,0,0,0
' baylor ballpark. dan evatt 2 rbi single #baylor 6-5 lead texas a&m bottom 6th. ',objective,0,0,0
' sonic ost worst place 3rd ward! ',negative,0,1,0
' bowling kifan ',positive,0,0,0
' @nonagon7 tapes march/april soundwave dec ',neutral,0,0,0
' cold cold cold sun rising twickers. pic.twitter.com/5xc9tjcb ',objective,0,3,0
' 8th day flight university denver!! check seat band!! call milton. pic.twitter.com/vlpdwprq ',neutral,0,0,0
' cbs2-a clip beautiful viola davis...guest tomorrows @thetalk_cbs. watch five! #thetalk ',neutral,1,0,0
' nipsey hussle dom kennedy sat @shesruthless down? ',neutral,0,0,0
' abc: ricky ponting luke butterworth wednesday tough day office south australia sh... ',negative,0,0,0
' watch oscars, seth macfarlane hosting, actively campaign people watch either. ',negative,0,0,0
' @kylegeller10 @flybirds27 well come. carmen hates sports games :p ',negative,1,0,0
' dealbook: clearwire sought sprint spectrum: sprint disclosed thursday offered buy ... ',neutral,0,0,0
' @mattjonescbb will ky play rupp 2 3rd rounds tournament. plz reply ',neutral,1,0,0
' @tcfever wichita wild tied 14-14 1st quarter. @kappkvew ',neutral,0,1,0
' ready roger sanchez friday hq nightclub!!! hmu 609-335-3062 table reservations details!!!! ',positive,1,1,0
' @pabsty27 member monday prelim crows 9am-9pm tomorrow ticketek. 4 tickets barcode max 8 transaction ',neutral,0,0,0
' going asap concert tomorrow? ',neutral,0,0,0
' @mr_knight92 klub ace!!! klub ace !!!! saturday!!! $5 ur college 11:30...south party ',objective,0,0,0
' #spurs striker emmanuel adebayor will thursdays #uel game #lazio hamstring injury. ',objective,1,2,0
' sun flower seeds delicious ',positive,1,0,0
' donkey - friday 13th exciting day adrienne arsht center performing arts in... ',positive,1,0,0
' special conference call tomorrow 7th 7:30 pst - 10:30 est featuring doug wead! doug going a... ',positive,1,0,0
' keith richards monday night awful, cant forgive hank jr!?! ',negative,1,0,0
' great...we tickets preds 29th & games cancelled. #nhllockout ',negative,0,0,0
' join fun great pumpkin hunt rosedale gardens saturday! ',positive,2,0,0
' tiffany, cnblues yonghwa b2sts kikwang will mc sbs k-pop super concert america nov 10: ',objective,2,0,0
' saturday! train nfl combine body space fitness. click link below... ',neutral,0,0,0
' sunday house blues cleveland. photo water street music hall rochester :/ #happyhalloween ',neutral,0,0,0
' definately #globalgathering tickets year soon, gunnah fiiiilthy #electornicdirt ',negative,0,0,0
' black tonight . 1st carroll & richwood game ... ',objective,0,2,0
' bank lend burma 1st time 25 years - bbc news #burma ',objective,0,0,0
' fm preview: derby county peterborough united 28 apr 2012 - footymad attempt assist form guide as... ',neutral,0,0,0
' @blakemeacake15 dont eat friday hours 5-10 ricks cafe randolph food, ya dig? ',neutral,0,0,0
' kevin bacon, paul rudd 8 stars appear friday 13th halloween movies: guess famous fa... ',neutral,2,0,1
' building viola davis #nbd ',neutral,0,0,0
' fucking stoked hang girl thalia tomorrow night. havent ages. ',positive,0,0,0
' good day danica patrick finishes 10th kansas nationwide race - nascar news | fox sports msn... ',positive,1,0,0
' asap....come house tomorrow entertain going concert. ',neutral,1,0,0
' damn rivergate skate center 2 spot friday 13th. ',neutral,0,2,0
' ferry corsten space tonight ahhhhhhhhhh work ;) ',neutral,0,0,0
' heading h&m thurs shop fashion aids collection? sneak peek here: @collegefashion ',objective,0,1,0
' forget garlic, soup disgusting! nothing, saturday kitchen. ',negative,0,1,0
' spots "happiest baby block" sunday! ',positive,0,0,1
' @vickinotaro dogs? scream!!! ',neutral,0,0,0
' lipa 4:19 beat bad weather join taster sessions thurs joseph wright centre ',positive,0,1,0
' happy 1st showing 3pm today... ritz carlton... sell it! #tomiroseteam ',positive,1,0,0
' agenda sydney: sydney harbour bridge climb, halloween cruise harbour, opera house, blue mountains, bondi beach more! ',positive,0,0,0
' going romeo santos estadio olimpico santo domingo, dominican republic - dec 15 ',objective,0,0,0
' petrolia art park tomorrow saturday! will set front mercantile co. petrolia park! ',neutral,1,0,0
' @rfelich tryna north iowa bad accident 6th street... ',negative,0,1,0
' @rdew925 @erieotters @monstershockey day saturday. go? avs prospect michael clarke plays windsor. ',objective,1,0,0
' today las day buy big krit/ slim thugg tickets starkville tomorrow @ ricks cafe ',objective,1,0,1
' sport: calling tayside football fans! #wave102footballphonein kicks 6pm wednesday! join debate! #dufc #dfc #spl ',objective,0,0,0
' utah nba deepest team. great job oconnor. dumped harris. mo & marvin williams;(finally arrived. tinsley. nets b4 cj. ',neutral,1,0,0
' kris airport runaway x3 "@rladeer: tomorrow exo will nanjing.. yeah! ill luhans hair.. true hair bl ',neutral,2,2,0
' - grassroots racing best returns marana saturday, october 27, gladden farms 10k ',positive,2,0,0
' stumbled video montage tv channel clips camilla parker bowles set uptown girl. so..thats saturday. you? ',objective,0,0,0
' wait meet @therealjuicyj @realwizkhalifa @hill_gonzz november 29th #trippyniqqas ',objective,0,0,0
' review : black friday 2012 maxxima mln-10 led night light sensor (pack 4): find, shop, reviews , bu... ',neutral,1,1,0
' edgar davids pulled boots lead bottom league 2 barnet win season friday night ',neutral,0,0,0
' economic timeswashing hands will keep doctor awaydawn.comislamabad, oct 15: banks strategic environmental assessment r... ',neutral,1,0,1
' official, will flying raleigh, nc tomorrow. saddened. pray uppc family awesome time lord. #praying ',negative,2,0,1
' tracking texas a&m football players 2012 nfl draft: texas a&m biggest surprise 2012 n... ',positive,0,0,1
' mommy brought red velvet cupcakes! gonna play football tomorrow morning daddy, bella, jarvey! yayy family. ',positive,0,0,0
' also...sun belt barn burner u...mtsu kick house 34-27 western kentucky @rmjackson13 #mtsu ',neutral,0,1,0
' @clamatadore sun stars sea ,true love will eternity.sweetheart super star.kisses,star ',positive,4,0,0
' #sale mary green silk married boyshort reviews: best product mary ... #fashion ',positive,1,0,0
' regularly drink thwaites best welly monday. nectar. fox @ twickers, utter shite. ',neutral,1,1,0
' "@foreverbaybay: watched pursuit happiness 1st time. love it." good deeds tyler perry girl version ',positive,3,0,0
' enjoyed pj harvey tonight - contrary expectations. black feather head-dress ott. ',positive,0,2,0
' @ctvnationalnewss lloyd robertson set sign tonight 41 years national news anchor. ',objective,0,0,0
' dad told final destination 5 friday. wow.. #wasntexpectingthat ',positive,0,0,0
' +1 rt @foodprincess wonderful company gr8 food chinatown night tour guide @ziggysmogdust , @jaypfrancis & irene ',positive,1,0,0
' @jasonmanns sir real rock star.i bring inner "manns" night karaoke party. bud! ',positive,1,0,0
' steve jobs biography time ipad 3 ',objective,0,0,0
' officialy hate windows 7, sucks laptop. xp tomorrow! (and huge delay movie :/, close!) ',negative,0,1,1
' final destination 5? pretty sure "final" one...not 5th one. ',negative,2,0,0
' email copy deus way. arrives tomorrow will literally stay night playing it. joke. ',positive,1,0,0
' hmm.. sby deh. rt @tujukutu: kung fu panda 2 (in 2d & 3d, indonesian subtitles) tentatively scheduled open tues 16 august ',objective,1,1,0
' kiss beyonces pearl bedd night wass wife... ',positive,1,0,0
' lions c4 sunday night hasnt yet. big brother; associate producer :) ',positive,0,0,1
' rt @pinkysibbs: ive ticket michael jackson tribute gig sale oct 8th dm details,please rt! ',neutral,1,0,0
' sad, charlie rt "until tonight realised fucked was" - charlie sheen #sheenroast ',negative,0,0,0
' alexis sanchez: "of course play sunday real madrid. true wanted join us." [via la sexta] ',positive,2,0,0
' tomorrow elvis extravaganza! tune 97.1fm 11am elvis presley handle. gonna rockin. ',positive,0,0,0
' listening amy luciens attempts communication nights big brother ... fear future mankind sometimes. ',negative,0,1,1
' running windows xp, time upgrade windows 7 ensure receive latest upgrades support future ',objective,3,0,0
' boise state, chattanooga, embry-riddle virginia tech receive charters tonight, congrats gentlemen! #duli11 ',positive,0,0,0
' raiders play cardinals today start pre-season. yr weak af ',neutral,0,1,0
' inbetweeners top ten moments tonight :d road trip. good night t.v ahead! ',positive,2,0,0
' ahhhh! loving ic champion! happen friday. ): crossing fingers match summerslam! ',positive,0,0,0
' nurgh, stack mtas dealt cant dealing crappy url thing today d: ',negative,0,0,0
' #waok sports kings: uga ready boise state!: yesterday no. 19 georgia scrimmaged bull... ',objective,1,0,0
' temp outside....hpw hotter sun down???? feel vegas adding humidity ',negative,0,0,1
' cant wait september 6th season sons anarchy starts woo hoo :-) ',positive,1,1,0
' tomorrow 34th anniversary elvis presleys death. love you, rest peace. ',positive,1,0,0
' terrible tragedy today russia loss great khl team nhl great pavol demitra ',negative,2,3,0
' follow @transferscoop , find good quotes online happens!!!!! ',positive,1,0,0
' horrible rugby cup october? gonna battling bday, soul punk people running circles ',negative,0,1,0
' forgot celebrity juice tonight, my. time guys? ',positive,1,0,0
' quote 23 yrs. ago today -- "republicans understand bondage parent & child."......man, dan quayle. ',neutral,1,1,0
' @benmackintosh good game embarrassing ',positive,1,2,0
' droid bionic today. pr reps will send way, ill talk and... ',objective,1,1,0
' @pgatour tiger woods awful. luckily terrible golf going tgc today cbs - see. ',negative,1,1,0
' @chippy_nonstop coming again../ ill bck fall ',positive,0,2,0
' day 3 big brother house ingleton waterfalls trail today, promises amazing scenery! ',positive,1,0,1
' microsoft issues critical patch windows 7, vista users: microsoft issues light patch tuesday, one... ',objective,1,1,0
' cant wait rock "apologize" republic & "jesus freak" dc talk tonight gettin redy rock sasabo, japan ',positive,0,0,0
' @samvescovi @darrenvescovi steelers game tomorrow? ',neutral,0,1,0
' boehner president change speech thurs going #gop2012 debate. what? time packers-saints #nfl opener?!? ',negative,0,0,0
' surprised tha carter iv greater shit...hope proved wrong 1st 3 singles doo doo ',negative,0,1,0
' @lagana @johnashimself la guys going summerslam sunday? ',neutral,0,0,0
' today awesome day! google engineers posted tutorial video site! endorsment! ',positive,1,0,0
' kung fu panda 2 (in 2d & 3d, indonesian subtitles) tentatively scheduled open tues 16 august ^isk ',objective,1,1,0
' tomorrow gonna super bowl ravens vs. steelers game ',positive,1,1,0
' bout listen nicki minaj night ',neutral,0,0,0
' raiders field tueday afternoon practice ready face arizona thursday night oakland. ',neutral,1,0,0
' pre-ordered droid bionic. pick verizon store friday! :-) (@ brevard nc) ',positive,0,0,0
' #ufc @jesseseedath yushin okami isnt anderson silvas opponent saturday night - only... - ',neutral,0,1,0
' democrats spent night morning talk stock market...whatever blank check! ',negative,0,0,0
' yayyy!!! rt : @coupleboobs: nicki minaj - pink friday, 15 places, #16 official uk top 40 :) ',positive,1,0,0
' stretch picking yushin okami tomorrow. andersons athletic prime passed okamis cashing time. ',positive,0,0,1
' @lookupptome ooh welp thts goood bball social life ',positive,0,0,0
' sons anarchy greatest tv now. @jamcompadre netflix ',positive,1,1,0
' dindin fav restaurant boy. watching season 3 sons anarchy. perfect night. ',positive,1,0,0
' great game...tremendous start season. bring sunday real madrid barcelona. ',positive,2,0,0
' league? rt @jovinhomorales: barcelona real madrid playing sunday... sleeping pills... ',negative,1,0,0
' deus exclusive hands article going tonight. fucking love twitter followers. ',positive,2,0,0
' ufc 134: anderson silva vs. yushin okami gambling spotlight: handful ufc 134 props night lit... ',objective,0,0,0
' #ufc @jesseseedath yushin okami isnt anderson silvas opponent saturday night - only... - ',neutral,0,1,0
' eww lady gaga femme fatale tour tonight. dont surprised gaga britneys props tour lol ',negative,0,2,0
' hope pj harvey takes mercury tonight! great record! ',positive,2,0,0
' @icekold_tee touching mans tings telly ',positive,0,0,0
' tomorrow coming barcelona...i dont want! :((( ',negative,0,0,0
' blow coz gay homie, confused steve jobs rt @ahdelâ€¦ (cont) ',positive,0,2,0
' making plans ahead time best. friday going final destination 5 w/ mains gem, ariana, brian, drew, & rachael. (; ',positive,0,0,0
' president obama thursday named microsoft fcc executive steven vanroekel federal chief officer (cio). ',objective,0,0,0
' bisaa rt @blitzmegaplex: kung fu panda 2 (in 2d & 3d, indonesian subtitles) tentatively scheduled open tues 16 august ^isk ',objective,1,1,0
' disney star posters (and twilight, time) hp today poster book (100 posters) ',objective,1,0,0
' august 17th rt @graceellisxo: cant wait inbetweeners movie, will favourite! whens ? ',positive,1,0,0
' boise state, chattanooga, embry-riddle virginia tech receive charters tonight, congrats gentlemen! #duli11 ',positive,0,0,0
' @702johnrobbie , dont feel rugby cup fever 702, one? isnt rugby friday? ',negative,0,1,1
' seriously waiting tomorrows ep true blood tomorrow. shits real. ',positive,1,2,0
' celebrity juice tonight 10pm itv2. hurrraaaaah! school special ',positive,2,0,0
' hmm convert euros left barcelona bristol tuesday. ',neutral,0,0,1
' cant lloyd robertsons broadcast tonight! era. gonna keep grandma company night!? ',negative,0,0,0
' mta close city subway hurricane #irene packs big punch. ',neutral,0,1,1
' hear car driving slowly 24th street blarring.............. elvis presley? ',negative,0,1,0
' interviewer writes hanif "almost 3,000 followers twitter - people eagerly wait word types" ',neutral,1,0,0
' @huda_shami good guy. s3 netflix? watching tonight ',positive,1,0,0
' strip club owner "guessing well 5 times night" .. "republicans plenty money. poor people" #duh ',negative,2,1,0
' kung fu panda 2 yesterday cousins =)) ',positive,0,0,0
' call baby, call bae, 4 wait, carter iv way! august 29th. hellllll yeahhh! (; ',positive,0,0,0
' displeased lion, opportunity learn windows 7. linux. poke eye. ',negative,1,0,1
' review rugby cup review, good full game though. installed press tweet. ',neutral,2,1,1
' know, lady gaga reads "letters young poet" morning? ',neutral,0,1,0
' trynna movies today "rise planet apes !" ',neutral,0,0,0
' @skanyi10 @alan_hicks stadium kanyi open tomrw opening ceremony abs tonga game? happen duty tomorrow :-) ',positive,1,0,1
' brothers gf netflix acct, love movies. ill tonight ',positive,1,1,0
' @cheytiffy morning gorgeous rite thought b/slisten nicki minaj hhave domestics ',positive,1,0,1
' silicon valley re-charge solar energy?: silicon valley innovators apple google best hope left... ',positive,2,0,0
' vampire diaries jersey shore tonight. hotties fist pump hotties.. sounds great!!! :) ',positive,0,1,0
' forward celebrity juice tonight. ',positive,1,0,0
' @nickhexum announced powwow #311day vegas cruise (to hawaii). close together. ',neutral,0,1,0
' love much. join saturday evening uga v. boise state game. game 8pm, we... ',positive,1,1,0
' zags hold 1-0 lead 84 minutes beat boise state win bronco invite. goal sarah rhodes, 3rd weekend. ',positive,0,0,0
' night @ctvs lloyd robertson. sad day news, will deep voice. #legendary ',negative,1,2,0
' boehner proposes obama speech night nfl opening night... ',objective,0,0,0
' rt @coupleboobs: nicki minaj - pink friday, 15 places, #16 official uk top 40 :) ',positive,1,0,0
' lions. watch channel 4. tonight. 8pm. best film ever. ipad. tired it. ',positive,1,1,0
' @rastas4jesus09 droid bionic, thursday. thought day come. ',positive,0,0,1
' dont play long, street fighter iii: 3rd strike wednesday, deus ex: human revolution friday. ',negative,1,1,0
' @buckwoody tweet timed. surely hidden... rt @windows 12 handy tips windows 7 ',negative,2,0,0
' real sign neymar december - report - bangkok post: real madrid reached deal santos sign gift... ',objective,3,0,0
' final destination 5 opens friday. closest brush death chance win pair of... ',objective,0,1,0
' real madrid signed seven-year-old argentine boy, spokesman club confirmed monday ',objective,1,0,0
' going holiday 25th dad wanted watch inbetweeners movie lol :) - georgia ',positive,0,0,0
' august hot albums. watch throne. red album, tha carter iv. #toomuch ',neutral,1,0,0
' people marched london months. dont care 1,000 tottenhams tonight ~ ',negative,1,0,0
' time start calling democrats offices, demand 14th now, dont cave nut jobs. ',negative,0,1,0
' ure charlie sheen... rt @princecbn: true people top morning sex previous night? ',neutral,2,0,0
' underestimate madness cynicism frank open loathing country characterizes todays republicans ',negative,2,4,0
' dear tiger woods, carry 3 holes thursday. w/o nba gonna step up. michael ',neutral,1,0,0
' excited raiders game tonight ',positive,1,1,0
' day lake girl ready vegas big tonight! #blessed #freshtodeath ',positive,1,0,1
' lloyd robertson ended mention plaque stratford today. joked bieber didnt 1st. #bieberbestedagain ',neutral,0,0,0
' excellent performance pj harvey night! hairs neck stuff! good company @clarekirstin, @fi andrea :) ',positive,2,0,0
' repost: : microsofts tv subscription, rumored launch apples icloud - international business times ',neutral,0,0,0
' well tweeting live summerslam updates sunday on-location staples center 3rd straight year! spread word! #wwe ',objective,3,0,0
' week 1 nfl story lines: steelers ravens, again: packers-saints opener thursday, high... ',objective,0,0,0
' start nfl preseason us.. tonight marks raiders season, raiders postseason hopes. ',objective,0,0,0
' @pcam mistakes assumptions made. john chambers, s&p, anti-american. ',negative,0,1,0
' twilight wins awards tcas tonight, will burn twilight posters k? ok. ',positive,1,1,0
' microsoft & nokia holding august 17, 2011: august 17 day official annou... ',objective,0,0,0
